date,solve_date,day,elapsed_seconds,solved,checked,revealed,streak_eligible
2020-05-21,2020-05-21 21:33:52,Thu,1992,1,0,0,1
2020-05-22,2020-05-23 11:06:36,Fri,1739,1,0,0,0
2020-05-23,2020-05-29 22:36:53,Sat,1981,1,0,0,0
2020-05-24,2020-05-25 16:47:05,Sun,3237,1,0,0,0
2020-05-25,2020-05-25 19:03:17,Mon,539,1,0,0,1
2020-05-26,2020-05-26 22:02:42,Tue,1163,1,0,0,1
2020-05-27,2020-05-27 15:28:18,Wed,985,1,0,0,1
2020-05-28,2020-05-28 22:59:46,Thu,1642,1,0,0,1
2020-05-29,2020-05-29 19:29:15,Fri,1875,1,0,0,1
2020-05-30,2020-05-30 22:21:11,Sat,1739,1,0,0,1
2020-05-31,2020-05-31 23:02:43,Sun,3759,1,0,0,1
2020-06-01,2020-06-01 11:37:52,Mon,372,1,0,0,1
2020-06-02,2020-06-02 22:31:36,Tue,1025,1,0,0,1
2020-06-03,2020-06-03 12:45:49,Wed,1113,1,0,0,1
2020-06-04,2020-06-04 13:20:28,Thu,1466,1,0,0,1
2020-06-05,2020-06-05 20:57:10,Fri,2768,1,0,0,1
2020-06-06,2020-06-06 22:30:59,Sat,3260,1,0,0,1
2020-06-07,2020-06-07 09:55:02,Sun,3669,1,0,0,1
2020-06-08,2020-06-08 07:36:55,Mon,441,1,0,0,1
2020-06-09,2020-06-09 23:00:48,Tue,924,1,0,0,1
2020-06-10,2020-06-10 12:43:24,Wed,1014,1,0,0,1
2020-06-11,2020-06-11 21:25:58,Thu,3813,1,0,0,1
2020-06-12,2020-06-12 13:22:19,Fri,1304,1,0,0,1
2020-06-13,2020-06-13 20:25:55,Sat,3457,1,0,0,1
2020-06-14,2020-06-14 23:32:08,Sun,4738,1,0,0,1
2020-06-15,2020-06-15 11:30:35,Mon,459,1,0,0,1
2020-06-16,2020-06-16 18:54:29,Tue,795,1,0,0,1
2020-06-17,2020-06-17 15:02:13,Wed,1208,1,0,0,1
2020-06-18,2020-06-18 13:59:12,Thu,1457,1,0,0,1
2020-06-19,2020-06-19 11:09:27,Fri,2585,1,0,0,1
2020-06-20,2020-06-20 20:03:48,Sat,1555,1,0,0,1
2020-06-21,2020-06-21 20:16:33,Sun,3368,1,0,0,1
2020-06-22,2020-06-22 13:40:19,Mon,533,1,0,0,1
